index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,sentences_tone,document_tones,joy,analytical,sadness,tentative,confident,fear,anger
4000,somaily,"modelo, artista, estudiante y estudiante periodismo #btsarmy jin bias 🤟 #jinkook forever",n.a,312,447,5579,2009-12-27 23:58:14,2020-06-23 01:28:26,551,".@BTS_twt and @BigHitEnt have donated $1M to the #CrewNation campaign, ""one of the largest artist donations"" since the fund began. The campaign supports live concert crews across the globe impacted by COVID-19. https://t.co/WLQgTknNBR",['crewnation'],"['@BTS_twt', '@BigHitEnt']",donate campaign one large artist donation since fund begin campaign support live concert crew across globe impact,,"[{'score': 0.583359, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
4001,JOHNSTE16060063,"u. s. federal government sucks             politicians suck more            democrats politicians suck the most president 
trump save our country #maga #kag","michigan, usa",13151,12627,28965,2018-09-06 22:47:18,2020-06-20 03:07:41,0,@USATODAY So the protests are starting to have a effect on the Chinese Virus cases,[],['@USATODAY'],protest start effect chinese virus case,,"[{'score': 0.972852, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
4002,mijaziburger,cricket. elephants. history aur kuch mystery.,islamabad/london,145,652,35991,2011-10-07 14:35:19,2020-06-21 04:15:13,80,"A friend’s dad developed a fever four days ago, extreme coughing yesterday &amp; was due for his covid test but he passed away last night. The virus can be this quick &amp; lethal. Please pratice social distancing &amp; avoid going out unnecessarily. It might save the lives of your elders.",[],[],friend’s dad develop fever four day ago extreme cough yesterday amp due covid test pass away last night virus quick amp lethal please pratice social distancing amp avoid go unnecessarily might save life elder,,"[{'score': 0.632674, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
4003,KnicksFTW_HOTK,"just here to talk knicks, giants and mets, but occasionally other things. ny fan reppin in the a! being a diehard fan ain’t easy.","atlanta, ga",1110,771,10655,2019-02-02 14:03:48,2020-06-21 03:23:28,0,@shwinnypooh Someone needs to make a Covid Virus with mouse ears. 😜,[],['@shwinnypooh'],someone need make covid virus mouse ear,,"[{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,,,
4004,Charank21394924,n.a,n.a,3,0,95,2020-06-22 03:07:40,2020-06-22 03:38:07,6528,Thank you Switzerland 🇨🇭 especially Zermatt for showing solidarity for India 🇮🇳 in its fight against the Covid-19 Pandemic . Never thought I would see Matterhorn is Tricolours . Very Touching Gesture. Thank you for the love . INDIA  @zermatt_tourism @MySwitzerland_e #Matterhorn https://t.co/hPe5HNXCc6,[],"['@zermatt_tourism', '@MySwitzerland_e']",thank switzerland especially zermatt show solidarity india fight pandemic never think would see matterhorn tricolour touch gesture thank love india,,"[{'score': 0.881685, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
4005,RareGemUSA,"#sovereignty #nationalism #trumpsupporter #kag
#maga #buildthewall 
#americafirst #2a #conservative  #liberalismisamentaldisease
🇺🇸🇺🇸🇺🇸🇺🇸",usa,4652,3484,63954,2014-03-31 01:32:45,2020-06-21 03:15:40,1688,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]","[{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,,,
4006,Krishnadums,"god gave me a lot of hair, but not a lot of height.","quezon, northern mindanao",263,278,6691,2017-08-21 10:51:42,2020-06-21 04:22:17,1377,huhuhu I really miss how life was before the corona virus 🥺👉🏼👈🏼,[],[],huhuhu really miss life corona virus,,"[{'score': 0.88846, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
4007,EJ_Brooklyn_Own,"38 year old brooklyn guy with trini roots (🇹🇹). into music, bad television, and sports.","brooklyn, ny",2003,1870,30698,2011-12-06 19:35:16,2020-06-23 01:09:08,2392,It’s absolute death for this industry to keep acting as it has been. Both sides. We’re driving the bus straight off a cliff. How is this good for anyone involved? Covid 19 already presented a lose lose lose situation and we’ve somehow found a way to make it worse. Incredible. 🤦🏻‍♂️,[],[],it’s absolute death industry keep act side we’re drive bus straight cliff good anyone involve covid already present lose lose lose situation we’ve somehow find way make bad incredible 🤦‍,,"[{'score': 0.667303, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
4008,SmithSeigel,always grateful to god in all ways.,n.a,659,209,3235,2020-02-12 02:38:38,2020-06-22 01:17:35,2686,I don't care at all about the ramp.  The president has just admitted he ordered testing slowed for COVID-19. This isn't campaign happy-talk. It's a deadly serious admission that needs to be fully investigated.,[],[],care ramp president admit ordered testing slow campaign happy-talk deadly serious admission need fully investigate,,"[{'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,1.0,,
4009,TOICitiesNews,unmatched coverage from over 60 cities across india brought to you by https://t.co/vski1mkzbr,n.a,94,19633,729724,2009-04-13 11:14:45,2020-06-22 02:11:58,0,"Kerala: 133 test Covid-19 positive on Sunday, 378 cases in three days https://t.co/d19buNFsy9",[],[],kerala test positive sunday case three day,,"[{'score': 0.765125, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.938012, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,1.0,,
